number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,final_activation,dropout,lr,epochs,scheduler,schel_step_size,schel_gamma,log2_layer_2,activation_3,schel_t_max_mod,shchel_eta_min,log2_layer_3,activation_4,log2_layer_4,activation_5
72,0.2903907497723897,2,6,leaky_relu,11.0,gelu,sigmoid,0.13946313384433134,0.003443169247727658,7,cosine,,,,,4.0,1e-05,,,,
73,0.4330762028694153,2,6,leaky_relu,9.0,gelu,sigmoid,0.13425482970874736,0.0011687931177650607,7,cosine,,,,,1.0,1e-06,,,,
74,0.4225110411643982,2,8,identity,8.0,tanh,identity,0.1444602183109415,0.002057220393960249,7,none,,,,,,,,,,
75,0.39999163150787354,1,5,gelu,,,elu,0.12794434465885424,0.00034080651127463345,7,exponential,,0.9847635605019129,,,,,,,,
76,0.4555316964785258,2,7,relu,9.0,gelu,sigmoid,0.1082508547387725,0.0015590888199412645,8,cosine,,,,,4.0,0.0001,,,,
77,0.2673367460568746,3,8,relu,9.0,relu,sigmoid,0.10728173567372154,0.004118289354082554,9,cosine,,,12.0,leaky_relu,4.0,0.0001,,,,
78,0.4464462399482727,2,6,relu,8.0,gelu,sigmoid,0.08655658507263385,0.0010891474594900365,8,cosine,,,,,4.0,0.0001,,,,
79,0.414970060189565,3,7,relu,6.0,elu,sigmoid,0.14066230114734773,0.0029527949816697046,8,cosine,,,10.0,gelu,3.0,0.0001,,,,
80,0.11126017570495605,4,9,relu,9.0,gelu,sigmoid,0.07789547464085358,0.0005127797575494376,8,cosine,,,11.0,gelu,4.0,0.001,3.0,sigmoid,,
81,0.4090202848116557,2,7,gelu,10.0,gelu,relu,0.13657745176268674,0.001766894250016654,7,none,,,,,,,,,,
82,0.4644126097361247,2,7,leaky_relu,10.0,gelu,identity,0.13110509785339866,0.0012619848822180754,7,cosine,,,,,2.0,0.001,,,,
83,0.45412617921829224,2,8,leaky_relu,9.0,gelu,leaky_relu,0.0969992352907719,0.0008079759973913383,7,cosine,,,,,2.0,0.001,,,,
