number,R²,log2_embed_size,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,log2_layer_2,activation_3,final_activation,log2_num_heads,pooling,dropout,lr,epochs,scheduler,schel_t_max_mod,shchel_eta_min,schel_step_size,schel_gamma
54,0.4033740560213725,5,1,4,sigmoid,,,,,identity,1,max,0.06372869456809152,0.0021324558774469217,10,exponential,,,,0.8920845482945167
55,0.07004882891972859,6,1,2,sigmoid,,,,,identity,0,max,0.020266356089987832,0.0065764207062735044,9,exponential,,,,0.8310047637301886
56,0.297124981880188,4,1,3,gelu,,,,,identity,1,max,0.05605382192342281,0.0038367897151102776,9,cosine,1.0,0.0,,
57,0.0023850401242574057,7,1,5,leaky_relu,,,,,sigmoid,1,max,0.09927302229520173,0.0005325259520962657,8,exponential,,,,0.8821433046267895
58,0.09094677368799846,5,1,7,sigmoid,,,,,identity,1,linear,0.04480472315753167,0.000235666737203044,8,step,,,15.0,0.7488489360550497
59,0.3425528208414714,3,1,5,gelu,,,,,tanh,0,max,0.06937360651293997,0.0011387058528550453,9,cosine,5.0,1e-06,,
60,0.3918520013491313,4,1,9,tanh,,,,,gelu,1,max,0.028665995790932434,0.0008479874820044181,10,exponential,,,,0.9692112851449474
61,0.426113764444987,4,2,4,identity,7.0,relu,,,leaky_relu,2,max,0.008833794805000968,0.00030990287926243746,9,exponential,,,,0.8657199970230329
62,0.41787944237391156,4,2,4,identity,7.0,relu,,,identity,2,max,0.01022250515940993,0.00028668789506304206,9,exponential,,,,0.8626350668737517
63,0.4089217185974121,4,2,4,identity,9.0,relu,,,relu,2,max,0.07370455281712818,0.0004896066611980168,9,exponential,,,,0.8431386624376919
64,-0.4121001561482747,4,2,3,identity,7.0,relu,,,leaky_relu,2,max,0.08590002207162857,2.4312298083616964e-05,9,exponential,,,,0.9001236616292035
65,0.4142744143803914,5,2,4,elu,9.0,gelu,,,elu,1,max,0.0023560004323430472,0.0006817960501577055,9,exponential,,,,0.8794806079361608
66,0.21702547868092856,4,2,6,identity,8.0,relu,,,leaky_relu,2,mean,0.03998821112734872,1.03902466965711e-05,10,cosine,4.0,0.0001,,
67,0.18072112401326498,3,1,3,sigmoid,,,,,identity,2,max,0.021807226444307742,4.2861247739847146e-05,7,exponential,,,,0.9141759944813164
68,-6.160400390625,6,2,4,gelu,6.0,sigmoid,,,sigmoid,1,max,0.08067415474595517,8.196011867072113e-05,8,exponential,,,,0.857282291647949
69,0.28825976451237995,5,1,4,leaky_relu,,,,,leaky_relu,2,max,0.035104696284828,0.001389245310053257,9,cosine,1.0,0.0001,,
70,0.39075396458307904,4,2,8,elu,9.0,gelu,,,identity,1,max,0.02697180831201971,0.0003364479792465234,9,exponential,,,,0.9273273117104817
