number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,final_activation,dropout,lr,epochs,scheduler,log2_layer_2,activation_3,log2_layer_3,activation_4,schel_t_max_mod,shchel_eta_min,schel_gamma,log2_layer_4,activation_5,schel_step_size
89,0.4034786820411682,2,6,identity,4.0,leaky_relu,elu,0.05419856120169633,0.0022047354912769963,8,step,,,,,,,0.4759604083048378,,,20.0
90,0.3299706776936849,3,5,identity,5.0,sigmoid,elu,0.06618802419517864,0.00845506857829712,9,none,10.0,identity,,,,,,,,
91,0.4340544541676839,2,4,identity,6.0,sigmoid,elu,0.061002083727436346,0.0015516993619695278,7,step,,,,,,,0.5362893856372365,,,20.0
92,0.4217669367790222,2,5,identity,5.0,sigmoid,elu,0.04870291045975903,0.0019709468537775637,7,step,,,,,,,0.521823574778831,,,20.0
93,0.43160782257715863,2,4,identity,6.0,sigmoid,elu,0.06067542860505209,0.001589595610268526,6,step,,,,,,,0.5683997096889899,,,20.0
94,0.43692155679066974,2,6,identity,6.0,sigmoid,elu,0.058674295813353004,0.0016258594933700726,6,step,,,,,,,0.5676253686175717,,,15.0
95,0.4143213431040446,2,6,identity,7.0,sigmoid,elu,0.06022080669500049,0.0014067987326463612,6,cosine,,,,,4.0,0.0,,,,
96,0.3917699654897054,1,6,identity,,,elu,0.06911092786623388,0.0016860355530188803,6,step,,,,,,,0.5568581601641328,,,15.0
97,0.42472658554712933,2,3,identity,6.0,sigmoid,elu,0.059926207815960794,0.0012107963083689292,6,step,,,,,,,0.6067895095386845,,,15.0
98,0.29872316122055054,2,4,identity,6.0,sigmoid,elu,0.045976648081951316,0.0006516590520268455,6,step,,,,,,,0.5298253109954534,,,10.0
99,0.39514092604319256,2,4,identity,5.0,elu,elu,0.08050378600702374,0.000777914719558972,6,step,,,,,,,0.4810930507222829,,,15.0
